Curs,Tipus d'estudi,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Comarca del centre,Nou accés,Matrícula,Matrícula ETC,Titulats
2023,màster universitari,PÚBLICA,UAB,Adscrit,Estrangers,DONA,Vallès Occidental,163,215,176.3,159
2023,màster universitari,PÚBLICA,UAB,Adscrit,Estrangers,HOME,Barcelonès,20,20,17,6
2023,màster universitari,PÚBLICA,UAB,Adscrit,Estrangers,HOME,Berguedà,*,*,2,*
2023,màster universitari,PÚBLICA,UAB,Adscrit,Estrangers,HOME,Vallès Occidental,91,116,95.1,79
2023,màster universitari,PÚBLICA,UAB,Integrat,Espayolas,DONA,Vallès Occidental,993,1309,1069.5,902
2023,màster universitari,PÚBLICA,UAB,Integrat,Espayolas,HOME,Vallès Occidental,594,781,646.3,540
2023,màster universitari,PÚBLICA,UAB,Integrat,Estrangers,DONA,Vallès Occidental,563,697,571.7,473
2023,màster universitari,PÚBLICA,UAB,Integrat,Estrangers,HOME,Vallès Occidental,336,439,342,247
2023,màster universitari,PÚBLICA,UB,Adscrit,Espayolas,DONA,Barcelonès,45,63,48.3,40
2023,màster universitari,PÚBLICA,UB,Adscrit,Espayolas,DONA,Vallès Occidental,5,10,9.2,*
2023,màster universitari,PÚBLICA,UB,Adscrit,Espayolas,HOME,Barcelonès,45,61,49,48
2023,màster universitari,PÚBLICA,UB,Adscrit,Espayolas,HOME,Vallès Occidental,*,6,4.8,*
2023,màster universitari,PÚBLICA,UB,Adscrit,Estrangers,DONA,Barcelonès,146,193,153.6,157
2023,màster universitari,PÚBLICA,UB,Adscrit,Estrangers,DONA,Vallès Occidental,*,10,9.4,5
2023,màster universitari,PÚBLICA,UB,Adscrit,Estrangers,HOME,Barcelonès,87,108,92.9,76
2023,màster universitari,PÚBLICA,UB,Adscrit,Estrangers,HOME,Vallès Occidental,8,11,10.2,*
2023,màster universitari,PÚBLICA,UB,Integrat,Espayolas,DONA,Barcelonès,1470,2334,1693.3,1350
2023,màster universitari,PÚBLICA,UB,Integrat,Espayolas,HOME,Barcelonès,946,1427,1075.6,876
2023,màster universitari,PÚBLICA,UB,Integrat,Estrangers,DONA,Barcelonès,797,1184,920,661
2023,màster universitari,PÚBLICA,UB,Integrat,Estrangers,HOME,Barcelonès,445,656,517.8,373
2023,màster universitari,PÚBLICA,UdG,Adscrit,Espayolas,DONA,Gironès,7,8,6.3,7
2023,màster universitari,PÚBLICA,UdG,Adscrit,Espayolas,HOME,Gironès,18,19,17.6,16
2023,màster universitari,PÚBLICA,UdG,Integrat,Espayolas,DONA,Gironès,238,356,285.5,246
2023,màster universitari,PÚBLICA,UdG,Integrat,Espayolas,HOME,Gironès,184,252,215.8,174
2023,màster universitari,PÚBLICA,UdG,Integrat,Estrangers,DONA,Gironès,92,142,122.5,79
2023,màster universitari,PÚBLICA,UdG,Integrat,Estrangers,HOME,Gironès,89,136,119.9,61
2023,màster universitari,PÚBLICA,UdL,Adscrit,Espayolas,DONA,Barcelonès,*,*,4,*
2023,màster universitari,PÚBLICA,UdL,Adscrit,Espayolas,DONA,Fora de Catalunya,5,5,5,*
2023,màster universitari,PÚBLICA,UdL,Adscrit,Espayolas,DONA,Segrià,18,23,15.1,8
2023,màster universitari,PÚBLICA,UdL,Adscrit,Espayolas,HOME,Fora de Catalunya,*,*,3.1,*
2023,màster universitari,PÚBLICA,UdL,Adscrit,Espayolas,HOME,Segrià,45,55,36.2,23
2023,màster universitari,PÚBLICA,UdL,Adscrit,Estrangers,DONA,Barcelonès,42,42,42,32
2023,màster universitari,PÚBLICA,UdL,Adscrit,Estrangers,DONA,Fora de Catalunya,8,9,8.1,8
2023,màster universitari,PÚBLICA,UdL,Adscrit,Estrangers,DONA,Segrià,*,*,3.5,*
2023,màster universitari,PÚBLICA,UdL,Adscrit,Estrangers,HOME,Barcelonès,18,20,19.4,15
2023,màster universitari,PÚBLICA,UdL,Adscrit,Estrangers,HOME,Fora de Catalunya,*,*,3.1,*
2023,màster universitari,PÚBLICA,UdL,Adscrit,Estrangers,HOME,Segrià,12,14,9.5,5
2023,màster universitari,PÚBLICA,UdL,Integrat,Espayolas,DONA,Segrià,252,422,296,211
2023,màster universitari,PÚBLICA,UdL,Integrat,Espayolas,HOME,Segrià,253,427,309.4,191
2023,màster universitari,PÚBLICA,UdL,Integrat,Estrangers,DONA,Segrià,39,75,45.5,21
2023,màster universitari,PÚBLICA,UdL,Integrat,Estrangers,HOME,Segrià,59,87,64.2,30
2023,màster universitari,PÚBLICA,UPC,Adscrit,Espayolas,DONA,Barcelonès,27,28,27.8,28
2023,màster universitari,PÚBLICA,UPC,Adscrit,Espayolas,HOME,Barcelonès,29,29,29.2,29
2023,màster universitari,PÚBLICA,UPC,Adscrit,Estrangers,DONA,Barcelonès,427,444,443.6,426
2023,màster universitari,PÚBLICA,UPC,Adscrit,Estrangers,HOME,Barcelonès,279,287,289.9,266
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,DONA,Bages,*,9,4.2,*
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,DONA,Baix Llobregat,6,7,5.9,6
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,DONA,Barcelonès,392,764,564.2,329
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,DONA,Garraf,*,*,0.3,0
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,DONA,Vallès Occidental,139,260,197.8,128
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,HOME,Bages,*,15,7.4,9
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,HOME,Baix Llobregat,10,16,8.7,8
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,HOME,Barcelonès,883,1953,1379.9,789
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,HOME,Garraf,*,12,6.8,*
2023,màster universitari,PÚBLICA,UPC,Integrat,Espayolas,HOME,Vallès Occidental,279,671,451.8,215
2023,màster universitari,PÚBLICA,UPC,Integrat,Estrangers,DONA,Bages,*,9,4.2,*
2023,màster universitari,PÚBLICA,UPC,Integrat,Estrangers,DONA,Baix Llobregat,*,10,4.4,*
2023,màster universitari,PÚBLICA,UPC,Integrat,Estrangers,DONA,Barcelonès,287,521,368.2,230
2023,màster universitari,PÚBLICA,UPC,Integrat,Estrangers,DONA,Garraf,*,*,2.7,*
2023,màster universitari,PÚBLICA,UPC,Integrat,Estrangers,DONA,Vallès Occidental,28,43,31.4,26
2023,màster universitari,PÚBLICA,UPC,Integrat,Estrangers,HOME,Bages,6,12,5.6,6
2023,màster universitari,PÚBLICA,UPC,Integrat,Estrangers,HOME,Baix Llobregat,17,23,11.5,5
